qs_2005_rank,qs_institution_name,qs_country,openalex_name,openalex_id,is_manual_mapping,matched
1,Harvard University,USA,Harvard University,https://openalex.org/I136199984,FALSE,TRUE
2,Massachusetts Institute of Technology - MIT,USA,Massachusetts Institute of Technology,https://openalex.org/I63966007,TRUE,TRUE
3,University of Cambridge,UK,University of Cambridge,https://openalex.org/I241749,FALSE,TRUE
4,University of Oxford,UK,University of Oxford,https://openalex.org/I40120149,FALSE,TRUE
5,Stanford University,USA,Stanford University,https://openalex.org/I97018004,FALSE,TRUE
6,University of California - Berkeley,USA,"University of California, Berkeley",https://openalex.org/I95457486,FALSE,TRUE
7,Yale University,USA,Yale University,https://openalex.org/I32971472,FALSE,TRUE
8,California Institute of Technology - Caltech,USA,California Institute of Technology,https://openalex.org/I122411786,TRUE,TRUE
9,Princeton University,USA,Princeton University,https://openalex.org/I20089843,FALSE,TRUE
10,Ecole Polytechnique,France,,,,FALSE
11,London School of Economics,UK,,,,FALSE
11,Duke University,USA,Duke University,https://openalex.org/I170897317,FALSE,TRUE
13,Imperial College London,UK,Imperial College London,https://openalex.org/I47508984,FALSE,TRUE
14,Cornell University,USA,Cornell University,https://openalex.org/I205783295,FALSE,TRUE
15,Peking University,China,Peking University,https://openalex.org/I20231570,FALSE,TRUE
16,The University of Tokyo,Japan,The University of Tokyo,https://openalex.org/I74801974,FALSE,TRUE
17,University of California - San Francisco,USA,"University of California, San Francisco",https://openalex.org/I180670191,FALSE,TRUE
17,University of Chicago,USA,University of Chicago,https://openalex.org/I40347166,FALSE,TRUE
19,University of Melbourne,Australia,The University of Melbourne,https://openalex.org/I165779595,FALSE,TRUE
20,Columbia University,USA,Columbia University,https://openalex.org/I78577930,FALSE,TRUE
21,Swiss Federal Institute of Technology Zurich - ETHZ,Switzerland,ETH Zurich,https://openalex.org/I35440088,TRUE,TRUE
22,National University of Singapore,Singapore,National University of Singapore,https://openalex.org/I165932596,FALSE,TRUE
23,Australian National University,Australia,Australian National University,https://openalex.org/I118347636,FALSE,TRUE
24,McGill University,Canada,McGill University,https://openalex.org/I5023651,FALSE,TRUE
24,Ecole Normale Sup�rieure de Paris,France,,,,FALSE
26,University of Texas at Austin,USA,The University of Texas at Austin,https://openalex.org/I86519309,TRUE,TRUE
27,Johns Hopkins University,USA,Johns Hopkins University,https://openalex.org/I145311948,FALSE,TRUE
28,University College London,UK,University College London,https://openalex.org/I45129253,FALSE,TRUE
29,University of Toronto,Canada,University of Toronto,https://openalex.org/I185261750,FALSE,TRUE
30,University of Edinburgh,UK,University of Edinburgh,https://openalex.org/I98677209,FALSE,TRUE
31,Kyoto University,Japan,Kyoto University,https://openalex.org/I22299242,FALSE,TRUE
32,University of Pennsylvania,USA,University of Pennsylvania,https://openalex.org/I79576946,FALSE,TRUE
33,Monash University,Australia,Monash University,https://openalex.org/I56590836,FALSE,TRUE
34,Swiss Federal Institute of Technology Lausanne - EPFL,Switzerland,École Polytechnique Fédérale de Lausanne,https://openalex.org/I5124864,TRUE,TRUE
35,University of Manchester Institute of Science and Technology,UK,University of Manchester,https://openalex.org/I28407311,FALSE,TRUE
36,University of Michigan - Ann Arbor,USA,University of Michigan,https://openalex.org/I27837315,TRUE,TRUE
37,University of California - Los Angeles,USA,"University of California, Los Angeles",https://openalex.org/I161318765,FALSE,TRUE
38,University of Sydney,Australia,The University of Sydney,https://openalex.org/I129604602,FALSE,TRUE
38,University of British Columbia,Canada,University of British Columbia,https://openalex.org/I141945490,FALSE,TRUE
40,University of New South Wales,Australia,UNSW Sydney,https://openalex.org/I31746571,FALSE,TRUE
41,University of Hong Kong,Hong Kong,University of Hong Kong,https://openalex.org/I889458895,FALSE,TRUE
42,University of California - San Diego,USA,"University of California, San Diego",https://openalex.org/I36258959,FALSE,TRUE
43,Hong Kong University of Science and Technology,Hong Kong,Hong Kong University of Science and Technology,https://openalex.org/I200769079,FALSE,TRUE
44,Carnegie Mellon University,USA,Carnegie Mellon University,https://openalex.org/I74973139,FALSE,TRUE
45,University of Heidelberg,Germany,Heidelberg University,https://openalex.org/I223822909,TRUE,TRUE
46,Northwestern University,USA,Northwestern University,https://openalex.org/I111979921,FALSE,TRUE
47,University of Queensland,Australia,The University of Queensland,https://openalex.org/I165143802,FALSE,TRUE
48,Nanyang Technological University,Singapore,Nanyang Technological University,https://openalex.org/I172675005,FALSE,TRUE
49,University of Bristol,UK,University of Bristol,https://openalex.org/I36234482,FALSE,TRUE
50,Indian Institutes of Technology,India,,,,FALSE
51,Chinese University of Hong Kong,Hong Kong,Chinese University of Hong Kong,https://openalex.org/I177725633,FALSE,TRUE
52,University of Auckland,New Zealand,University of Auckland,https://openalex.org/I154130895,FALSE,TRUE
53,Delft University of Technology,Netherlands,Delft University of Technology,https://openalex.org/I98358874,FALSE,TRUE
54,Boston University,USA,Boston University,https://openalex.org/I111088046,FALSE,TRUE
