rel_time,coef,se,ci_lower,ci_upper
-12,-0.017743845419878276,1620169118487.5933,-3175531472235.7,3175531472235.665
-11,0.05736140312030821,6804840916481.29,-13337488196303.271,13337488196303.385
-10,-1.1255441043677394,3226483783418.475,-6323908215501.337,6323908215499.085
-9,-1.837208864064584,3056069884529.7417,-5989896973680.131,5989896973676.457
-8,-1.5452574124842753,1965765933531.6868,-3852901229723.6514,3852901229720.5605
-7,1.0784502437132026,3056536459571.053,-5990811460758.187,5990811460760.343
-6,-1.9458775641014168,4518784303040.649,-8856817233961.617,8856817233957.727
-5,-0.2942157916485276,1968922103941.68,-3859087323725.987,3859087323725.398
-4,0.08726577900450568,2058371345941.4788,-4034407838045.211,4034407838045.3857
-3,-0.05029203929406837,890099221832.784,-1744594474792.3071,1744594474792.2065
-2,-0.02029115243601997,1156500002520.0176,-2266740004939.255,2266740004939.214
-1,0.0,0.0,0.0,0.0
0,0.20425005686632686,6622161568563.604,-12979436674384.457,12979436674384.867
1,0.935663730673116,2088912966939.5522,-4094269415200.587,4094269415202.458
2,0.5253618543719839,1906933806649.835,-3737590261033.151,3737590261034.2017
3,-0.9079903828230259,1366658385100.536,-2678650434797.9585,2678650434796.142
4,-4.061994361292593,19235089547370.043,-37700775512849.34,37700775512841.22
5,-0.2648633614937725,3933730516948.933,-7710111813220.174,7710111813219.645
6,0.678006207293515,3180512709972.5806,-6233804911545.58,6233804911546.936
7,0.4521244066964826,6406390239466.142,-12556524869353.186,12556524869354.088
8,1.1132571825645599,11811895138997.9,-23151314472434.77,23151314472436.996
9,3.327664330208381,10915220016065.434,-21393831231484.92,21393831231491.58
10,-10.61075114899239,53475717855774.88,-104812406997329.38,104812406997308.16
11,0.8124735246623104,1455177433308.9907,-2852147769284.809,2852147769286.434
12,9.129493683280721,13712743038610.566,-26876976355667.582,26876976355685.84
13,-0.6931912903187082,7228863042678.053,-14168571563649.676,14168571563648.29
14,-5.408919476892452,62962707609501.586,-123406906914628.52,123406906914617.7
15,-1.2172917225232034,3848013128917.272,-7542105732679.07,7542105732676.635
16,1.0477451248722207,2693071458662.369,-5278420058977.195,5278420058979.291
17,2.493454866235416,30047385720264.195,-58892876011715.33,58892876011720.31
18,-0.1777837540199317,1522425195947.0398,-2983953384056.3755,2983953384056.02
19,0.26359080100830934,2925413843645.974,-5733811133545.846,5733811133546.373
20,-0.09677403135310617,11366577127164.162,-22278491169241.855,22278491169241.66
21,0.07144434228106658,519322885619.74915,-1017872855814.6368,1017872855814.7797
22,0.41880689726102227,3088404250593.7827,-6053272331163.3955,6053272331164.233
23,0.34282757208872155,6187417157646.287,-12127337628986.379,12127337628987.066
24,0.06396342544780843,1234872315586.4119,-2420349738549.303,2420349738549.431
