rel_time,coef,se,ci_lower,ci_upper
-12,-0.026263091297495548,2107954564186.3994,-4131590945805.369,4131590945805.3164
-11,-0.296378484230921,6973808409268.146,-13668664482165.863,13668664482165.27
-10,-1.7839372522704746,3499730262723.153,-6859471314939.164,6859471314935.596
-9,-2.8731409686440816,2747801096896.316,-5385690149919.652,5385690149913.906
-8,-2.432570695279739,1721988957857.0996,-3375098357402.3477,3375098357397.4824
-7,1.7679696370557603,5584240225298.499,-10945110841583.291,10945110841586.826
-6,-2.880617620950825,4627354430756.69,-9069614684285.994,9069614684280.232
-5,-0.3451302699904339,1522801895058.408,-2984691714314.8247,2984691714314.1343
-4,-0.04666849338767243,3797086245628.7603,-7442289041432.417,7442289041432.323
-3,-0.05581586888825081,756396388886.4346,-1482536922217.4675,1482536922217.3557
-2,0.15372377719112912,1886619038694.9204,-3697773315841.89,3697773315842.1978
-1,0.0,0.0,0.0,0.0
0,-0.135173845199295,9669193024050.992,-18951618327140.082,18951618327139.81
1,1.6105993198739614,1871617903535.3071,-3668371090927.5913,3668371090930.813
2,1.190739048004316,1813982874935.9631,-3555406434873.297,3555406434875.6787
3,-1.3498806078794112,1279932879938.9897,-2508668444681.77,2508668444679.07
4,-5.13224383276955,27998799729985.883,-54877647470777.46,54877647470767.195
5,-0.4395913980330011,1786349615075.685,-3501245245548.782,3501245245547.9033
6,1.016921903522551,2094111678668.731,-4104458890189.6953,4104458890191.7295
7,0.6358892495442654,7828631667920.786,-15344118069124.104,15344118069125.377
8,1.6099277056859096,15239227154118.258,-29868885222070.176,29868885222073.395
9,7.216328810686163,14158362387084.066,-27750390278677.555,27750390278691.984
10,-23.479914254785776,83810110154509.05,-164267815902861.2,164267815902814.25
11,1.1659545004986225,2283066354091.3164,-4474810054017.814,4474810054020.146
12,17.491038949626457,13776344617986.896,-27001635451236.824,27001635451271.81
13,-1.0975595205601092,9061838708628.309,-17761203868912.582,17761203868910.387
14,-7.424552724082977,76230076261950.67,-149410949473430.75,149410949473415.88
15,-1.6840746063308678,4852486676879.558,-9510873886685.617,9510873886682.25
16,1.4712019319692224,4753923054488.616,-9317689186796.217,9317689186799.158
17,2.9196756848408425,27419262499501.023,-53741754499019.086,53741754499024.93
18,-0.5455597512103413,3500195792550.029,-6860383753398.603,6860383753397.511
19,0.45201155548421224,1800563441552.138,-3529104345441.7383,3529104345442.6426
20,0.46605554321409604,13878608429507.326,-27202072521833.895,27202072521834.824
21,-0.0014447840513128751,672449845184.0701,-1318001696560.7788,1318001696560.776
22,0.6705438409377465,5131232908340.764,-10057216500347.227,10057216500348.566
23,1.0501615487099472,9225617148842.14,-18082209611729.543,18082209611731.645
24,-0.15036587345105173,1009838708444.002,-1979283868550.3943,1979283868550.0935
