rel_time,coef,se,ci_lower,ci_upper
-12,-0.0010709173181062167,980017636038.4609,-1920834566635.3843,1920834566635.3823
-11,-0.19783132840570625,3894250800678.741,-7632731569330.531,7632731569330.135
-10,-0.534322806623066,2355253327348.192,-4616296521602.99,4616296521601.922
-9,-1.126790073490324,2035447955015.0474,-3989477991830.6196,3989477991828.3657
-8,-0.9521685556365501,1502787329698.783,-2945463166210.567,2945463166208.6626
-7,0.8211211713683803,1651650031643.8958,-3237234062021.2144,3237234062022.857
-6,-1.3900518804377269,4567119235535.252,-8951553701650.484,8951553701647.703
-5,-0.15533043400943328,1221734955726.6333,-2394600513224.3564,2394600513224.046
-4,-0.13274595187988605,2025168267728.0098,-3969329804747.0317,3969329804746.766
-3,-0.033378302064675285,735813488327.5483,-1442194437122.028,1442194437121.9612
-2,0.014905889178200694,947663533516.8085,-1857420525692.9297,1857420525692.9595
-1,0.0,0.0,0.0,0.0
0,-0.17634586437973337,5134357607002.827,-10063340909725.717,10063340909725.365
1,0.6645879580948391,1561864643630.565,-3061254701515.2427,3061254701516.572
2,0.3998810863555608,1497168037686.5654,-2934449353865.268,2934449353866.068
3,-0.605471680411349,935775309076.2308,-1834119605790.0178,1834119605788.807
4,-2.0569208714598375,12366739209397.549,-24238808850421.254,24238808850417.137
5,-0.06541059346643917,2876963470055.972,-5638848401309.7705,5638848401309.64
6,0.5590756391080649,2651308007567.978,-5196563694832.679,5196563694833.796
7,0.4909262722991985,3956769900223.568,-7755269004437.702,7755269004438.685
8,0.8566730423240316,7570004525807.589,-14837208870582.016,14837208870583.73
9,3.4187745613612117,9249936784135.086,-18129876096901.35,18129876096908.188
10,-12.339256389672482,47529901117523.68,-93158606190358.75,93158606190334.06
11,0.5208373489599912,1314527601699.288,-2576474099330.0835,2576474099331.1255
12,5.974344089028068,10697704472953.514,-20967500766982.914,20967500766994.86
13,-0.25265801917754277,4617270242289.062,-9049849674886.812,9049849674886.309
14,-2.0511634899075863,39318986785333.6,-77065214099255.9,77065214099251.81
15,-0.8145031983726079,2671868736997.446,-5236862724515.809,5236862724514.18
16,0.684962930176634,2053755831319.606,-4025361429385.7427,4025361429387.113
17,1.6697360324524957,19833673387585.27,-38873999839665.45,38873999839668.8
18,-0.10371137367810443,790107435431.6558,-1548610573446.149,1548610573445.9414
19,0.33915530350202144,1697665675796.696,-3327424724561.185,3327424724561.864
20,0.4078231799378565,6476682716577.614,-12694298124491.715,12694298124492.531
21,0.10724129774959791,458410918688.25616,-898485400628.8748,898485400629.0894
22,0.19959382879009352,1825944493112.3425,-3578851206499.9917,3578851206500.391
23,0.04006259872360309,4287626270726.997,-8403747490624.874,8403747490624.954
24,0.05345305358929572,830711981913.7092,-1628195484550.8167,1628195484550.9236
