rel_time,coef,se,ci_lower,ci_upper
-12,-0.019495412405879504,688051260898.3387,-1348580471360.7634,1348580471360.7244
-11,-0.20221666868307528,3215393515660.9346,-6302171290695.634,6302171290695.2295
-10,-0.29583413554474053,1825412008873.1125,-3577807537391.596,3577807537391.0044
-9,-0.5417120410802564,1680547152473.8892,-3293872418849.3643,3293872418848.2812
-8,-0.39153082208393225,836923453242.9103,-1640369968356.4956,1640369968355.7124
-7,0.35958153106941376,1854713338189.5474,-3635238142851.1533,3635238142851.872
-6,-0.618740513802637,2204851979390.396,-4321509879605.795,4321509879604.5576
-5,-0.08510003895707188,1283411467688.1233,-2515486476668.8066,2515486476668.6367
-4,-0.034417594810315956,754100212898.6893,-1478036417281.4656,1478036417281.3967
-3,-0.03722868365978019,335690822045.92725,-657954011210.0546,657954011209.9801
-2,0.015133442747731828,546112216236.0423,-1070379943822.6278,1070379943822.6581
-1,0.0,0.0,0.0,0.0
0,-0.11881348331087134,2096692785676.4678,-4109517859925.9956,4109517859925.7583
1,0.26931186388075956,990042939205.5858,-1940484160842.679,1940484160843.2175
2,0.19721357103635653,990357980304.7366,-1941101641397.0864,1941101641397.481
3,-0.28351798259639904,839848379467.7069,-1646102823756.989,1646102823756.422
4,-1.0774789242397418,8128301803479.745,-15931471534821.379,15931471534819.223
5,-0.08363682978032451,1293283695910.0552,-2534836043983.7915,2534836043983.6245
6,0.21263209672896585,877997781707.6914,-1720875652146.8625,1720875652147.2878
7,0.18543204621448364,2915460113466.2886,-5714301822393.74,5714301822394.111
8,0.4631599466079196,4829586043657.498,-9465988645568.232,9465988645569.158
9,1.4707487956939191,4817072912009.54,-9441462907537.229,9441462907540.17
10,-5.1448067425466135,16787711112140.928,-32903913779801.363,32903913779791.074
11,0.19536078156594644,840955604619.4463,-1648272985053.9194,1648272985054.31
12,2.7852538877787762,7502659995768.416,-14705213591703.31,14705213591708.88
13,-0.17306338420477602,2861705164698.182,-5608942122808.609,5608942122808.264
14,-1.2119892569765742,25278021350763.707,-49544921847498.08,49544921847495.66
15,-0.27989079967864583,1382498988355.0515,-2709698017176.1807,2709698017175.621
16,0.29341320010412786,1043302807048.2285,-2044873501814.2344,2044873501814.8213
17,0.8600297546039581,10893328647170.773,-21350924148453.855,21350924148455.574
18,-0.09589823434723459,1059253292159.0658,-2076136452631.865,2076136452631.673
19,0.12041473702039765,1660720447753.1023,-3255012077595.96,3255012077596.201
20,0.06825740541709044,5229324320498.703,-10249475668177.389,10249475668177.525
21,-0.0016832970498655907,250723293661.4791,-491417655576.50073,491417655576.4973
22,0.1244675947641983,1358990027490.459,-2663620453881.1753,2663620453881.4243
23,0.19216418225407006,2100764090825.6387,-4117497618018.0596,4117497618018.4443
24,-0.026810400945104687,740335447121.3802,-1451057476357.9321,1451057476357.8784
