rel_time,coef,se,ci_lower,ci_upper
-12,-0.0019828122675783705,275715089229.9158,-540401574890.63684,540401574890.63293
-11,-0.09726012211287129,1594119263076.0605,-3124473755629.176,3124473755628.9814
-10,-0.23307698198372376,1216183851676.9946,-2383720349287.1426,2383720349286.677
-9,-0.36536690517374937,829777297329.6278,-1626363502766.436,1626363502765.705
-8,-0.3210452788587199,806594519515.6556,-1580925258251.006,1580925258250.364
-7,0.21337750755738794,1093865156809.9362,-2143975707347.2615,2143975707347.6882
-6,-0.3237964136994252,1461629167789.488,-2864793168867.72,2864793168867.0728
-5,-0.059950220366393525,571167886133.9257,-1119489056822.5544,1119489056822.4343
-4,0.012595310600717502,917186417263.0663,-1797685377835.5972,1797685377835.6226
-3,-0.016875935008475867,314232385660.1575,-615895475893.9255,615895475893.8918
-2,0.011644478502525238,386050777764.5052,-756659524418.4186,756659524418.4418
-1,0.0,0.0,0.0,0.0
0,-0.009344271817424863,2005490748562.2705,-3930761867182.0596,3930761867182.041
1,0.196166552702121,660594457831.5527,-1294765137349.6472,1294765137350.0393
2,0.14176627519614862,871915680623.1588,-1708954734021.2495,1708954734021.5332
3,-0.18827240731177325,523110290179.7225,-1025296168752.4442,1025296168752.0677
4,-0.6706725551684755,4567021947329.676,-8951363016766.834,8951363016765.494
5,-0.051030964239470976,791014955161.0302,-1550389312115.6702,1550389312115.568
6,0.14954389414828673,819216896469.0408,-1605665117079.1702,1605665117079.4695
7,0.07431618208707173,1267121539735.1328,-2483558217880.786,2483558217880.9346
8,0.2417527492373039,2088769765058.006,-4093988739513.45,4093988739513.9336
9,1.102271177087141,4437332034353.387,-8697170787331.535,8697170787333.74
10,-3.8355152785894013,22264754162437.785,-43638918158381.89,43638918158374.22
11,0.21833271299759413,665868839547.6066,-1305102925513.0906,1305102925513.527
12,2.1767519113185894,5144779658737.4,-10083768131123.129,10083768131127.48
13,-0.07754491001514954,1390968209625.3877,-2726297690865.8374,2726297690865.682
14,-0.5193203614745598,10287359085348.037,-20163223807282.67,20163223807281.633
15,-0.17782684944021934,943610402609.8688,-1849476389115.5205,1849476389115.165
16,0.15931752929792992,791487420413.6876,-1551315344010.6682,1551315344010.987
17,0.2974136142663138,5606741068873.188,-10989212494991.152,10989212494991.746
18,-0.022949170250894033,534425388623.3582,-1047473761701.805,1047473761701.7592
19,0.10605099393771142,702971725635.0591,-1377824582244.6099,1377824582244.8218
20,0.04586333567312561,1860841901088.902,-3647250126134.202,3647250126134.294
21,0.00893693109204375,198813644369.42905,-389674742964.072,389674742964.08984
22,0.08923084952530855,642933012385.2115,-1260148704274.9255,1260148704275.1038
23,0.11807275686292634,1301059665333.8188,-2550076944054.1665,2550076944054.403
24,-0.009860995432801509,244067031130.58017,-478371381015.947,478371381015.92725
