rel_time,coef,se,ci_lower,ci_upper
-12,-0.05118849882819978,3676241483554.494,-7205433307766.859,7205433307766.758
-11,-3.0719129362476223,18000718912227.414,-35281409067968.805,35281409067962.664
-10,-5.049058023498641,18754059199249.74,-36757956030534.53,36757956030524.44
-9,-10.829794788482145,11950668174170.902,-23423309621385.797,23423309621364.14
-8,-8.523283771034983,11052426993174.367,-21662756906630.28,21662756906613.234
-7,6.190974086327098,14902860347931.13,-29209606281938.824,29209606281951.207
-6,-10.703708407764424,25243752370463.72,-49477754646119.59,49477754646098.19
-5,-1.2152251482597434,8748444894037.0625,-17146951992313.857,17146951992311.428
-4,-0.7898054070551334,10790709538842.666,-21149790696132.414,21149790696130.836
-3,-0.2110658615526751,6800464667164.586,-13328910747642.799,13328910747642.377
-2,0.36554058724412897,7814795707700.401,-15316999587092.422,15316999587093.152
-1,0.0,0.0,0.0,0.0
0,-1.1029895300027084,24761741880326.93,-48533014085441.88,48533014085439.68
1,4.872540530232487,11180835108852.832,-21914436813346.68,21914436813356.42
2,4.469799593753617,14581861297844.5,-28580448143770.75,28580448143779.688
3,-4.802049422110039,8096834053783.8,-15869794745421.05,15869794745411.445
4,-20.350091279734865,58920714471265.14,-115484600363700.02,115484600363659.33
5,-2.769292590454571,13424867629241.95,-26312740553316.99,26312740553311.45
6,3.0195611216899705,12220002552804.71,-23951205003494.215,23951205003500.254
7,3.8722587078321946,19083371865798.996,-37403408856962.16,37403408856969.91
8,8.274106938193954,29155626856827.117,-57145028639372.875,57145028639389.42
9,28.546163335919097,57551462358248.32,-112800866222138.16,112800866222195.25
10,-101.99442602669974,250321999093395.66,-490631118223157.5,490631118222953.5
11,5.281570920655674,11761027343652.797,-23051613593554.2,23051613593564.76
12,62.86731929003615,94958042516195.6,-186117763331680.5,186117763331806.25
13,-3.4253502981781656,17085504801393.252,-33487589410734.2,33487589410727.348
14,-20.47215549859067,123635236658195.5,-242325063850083.66,242325063850042.72
15,-5.404490176251535,10888388684166.09,-21341241820970.94,21341241820960.13
16,5.123868675486752,12971320433646.893,-25423788049942.785,25423788049953.035
17,9.191157672391638,53303488508955.305,-104474837477543.2,104474837477561.58
18,-1.2368369329533933,6919972582799.021,-13563146262287.318,13563146262284.846
19,2.95095605535019,12966405523682.553,-25414154826414.855,25414154826420.754
20,0.0779827973347246,21514253062460.145,-42167936002421.805,42167936002421.96
21,0.03633431851741169,4151506432064.75,-8136952606846.874,8136952606846.946
22,2.2159072574754517,7348053648007.572,-14402185150092.625,14402185150097.059
23,2.5825955307005297,14847701012785.281,-29101493985056.57,29101493985061.734
24,-0.10647899121253722,4292337594076.8286,-8412981684390.69,8412981684390.478
